retailerProductId,name,brand,url,matchedFieldTitles,matchedSnippets,categoryPaths
650495011,Filippo Berio Bolognese Pasta Sauce,Filippo Berio,https://www.ocado.com/products/650495011/details,dietaryInformation | detailedDescription,"Gluten free; Suitable for Vegans; Suitable for Vegetarians | With over 150 years of dedication and Italian tradition going into every product we make, Filippo Berio Bolognese Pasta Sauce is authentic. A convenient, classic pasta sauce of the highest quality. Made with naturally sweet Italian tomatoes and Filippo Berio Extra Virgin Olive Oil, this pasta sauce is carefully cooked to lock all the flavour in. So it tastes just like a homemade sauce. Bring effortless Italian inspiration to any meal with Filippo Berio pasta sauce, try it in soups, on meat or bruschetta. Filippo Berio Bolognese Pasta Sauce is suitable for vegans and vegetarians.",dietary-lifestyle-world-foods/vegan/ingredients | dietary-lifestyle-world-foods/vegetarian/ingredients | dietary-lifestyle-world-foods/world-foods/italian/pasta-sauce/pasta-sauce | food-cupboard/cooking-sauces/pasta-sauces/bolognese-sauces
13886011,Filippo Berio Extra Virgin Olive Oil,Filippo Berio,https://www.ocado.com/products/13886011/details,features | dietaryInformation,"For salad dressing and flavouring, Cold Extracted, Delicious flavour - well balanced, High in monounsaturates, Stable at high temperatures, Suitable for vegans and vegetarians | Suitable for Vegans; Suitable for Vegetarians",dietary-lifestyle-world-foods/brands-we-love/ciao-gusto/ingredients-tinned-tomatoes | dietary-lifestyle-world-foods/kosher/cupboard-essentials | dietary-lifestyle-world-foods/world-foods/italian/ciao-gusto-shop/ingredients-tinned-tomatoes/ingredients | dietary-lifestyle-world-foods/world-foods/italian/oils-vinegars/olive-oil | food-cupboard/oils-vinegars/extra-virgin-olive-oil
39271011,Filippo Berio Extra Virgin Olive Oil,Filippo Berio,https://www.ocado.com/products/39271011/details,features | dietaryInformation,"For salad dressing and flavouring, Delicious flavour - well balanced, High in monounsaturates, Stable at high temperatures, Cold extracted, Suitable for vegans and vegetarians | Suitable for Vegetarians; Suitable for Vegans",dietary-lifestyle-world-foods/brands-we-love/ciao-gusto/ingredients-tinned-tomatoes | dietary-lifestyle-world-foods/kosher/cupboard-essentials | dietary-lifestyle-world-foods/world-foods/italian/ciao-gusto-shop/ingredients-tinned-tomatoes/ingredients | dietary-lifestyle-world-foods/world-foods/italian/oils-vinegars/olive-oil | food-cupboard/oils-vinegars/extra-virgin-olive-oil
685408011,Filippo Berio Extra Virgin Olive Oil,Filippo Berio,https://www.ocado.com/products/685408011/details,features | dietaryInformation,"For Dressings, Dipping and Flavouring, Delicious flavour - well balanced, High in monounsaturates, Stable at high temperatures, Perfect for salad dressing, dipping, marinating and cooking, Cold Extracted, Suitable for Vegans and Vegetarians | Suitable for Vegans; Suitable for Vegetarians",food-cupboard/oils-vinegars/olive-oil | new-trending/new
615747011,Filippo Berio Grilled Vegetables Pasta Sauce,Filippo Berio,https://www.ocado.com/products/615747011/details,features | dietaryInformation,"100% Italian Tomatoes, Made with Filippo Berio extra virgin olive oil, Dedicated to fine Italian flavour, For delicious meals in minutes, Gluten free and lactose free, No preservatives, no flavourings, nothing artificial is added, Suitable for vegan and vegetarian diets | Gluten free; Suitable for Vegans; Suitable for Vegetarians",food-cupboard/cooking-sauces/pasta-sauces/tomato-sauces
646481011,Filippo Berio Marinara Pasta Sauce,Filippo Berio,https://www.ocado.com/products/646481011/details,features | dietaryInformation,"100% Italian Tomatoes, Made with Filippo Berio extra virgin olive oil 2.3%, Dedicated to fine Italian flavour, For delicious meals in minutes, Gluten free and lactose free, Filippo Berio Marinara Pasta Sauce is suitable for vegan and vegetarian diets | Gluten free; Suitable for Vegans; Suitable for Vegetarians",dietary-lifestyle-world-foods/vegan/food-cupboard | dietary-lifestyle-world-foods/vegetarian/food-cupboard | dietary-lifestyle-world-foods/world-foods/italian/pasta-sauce/pasta-sauce | food-cupboard/cooking-sauces/pasta-sauces/tomato-sauces
35247011,Filippo Berio Olive Oil Extra Virgin,Filippo Berio,https://www.ocado.com/products/35247011/details,features | dietaryInformation,"For salad dressing and flavouring, Delicious flavour - well balanced, Cold Extracted, Finish your dishes with a generous drizzle of delicious Felippo Berio extra virgin olive oil, High in monounsaturates, Stable at high temperatures, Suitable for vegans and vegetarians | Suitable for Vegans; Suitable for Vegetarians",dietary-lifestyle-world-foods/brands-we-love/ciao-gusto/ingredients-tinned-tomatoes | dietary-lifestyle-world-foods/keto/fats-oils/oils | dietary-lifestyle-world-foods/kosher/cupboard-essentials | dietary-lifestyle-world-foods/world-foods/italian/ciao-gusto-shop/ingredients-tinned-tomatoes/ingredients | dietary-lifestyle-world-foods/world-foods/italian/oils-vinegars/olive-oil | food-cupboard/oils-vinegars/extra-virgin-olive-oil
615746011,Filippo Berio Olive Pasta Sauce,Filippo Berio,https://www.ocado.com/products/615746011/details,features | dietaryInformation,"100% Italian Tomatoes, Made with Filippo Berio extra virgin olive oil, Dedicated to fine Italian flavour, For delicious meals in minutes, Gluten free and lactose free, No preservatives, no flavourings, nothing artificial is added, Suitable for vegan and vegetarian diets | Gluten free; Suitable for Vegans; Suitable for Vegetarians",food-cupboard/cooking-sauces/pasta-sauces/tomato-sauces
541326011,Filotea Penne Rigate Durum Wheat Pasta,Filotea,https://www.ocado.com/products/541326011/details,detailedDescription,"Filotea Penne Rigate Durum Wheat Semolina Pasta ideal for soaking up plenty of sauces. This pasta is made with 100% Italian durum wheat, bronze drawn and slow dried at low temperatures. 13% protein content, suitable for vegetarians and vegans.",food-cupboard/brands-we-love/just-gourmet-foods/food-cupboard | food-cupboard/brands-we-love/just-gourmet-foods/pasta-rice/pasta | food-cupboard/rice-pasta-pulses/pasta/penne
541324011,Filotea Rigatoni Durum Wheat Pasta,Filotea,https://www.ocado.com/products/541324011/details,detailedDescription,"Filotea Rigatoni Durum Wheat Semolina Pasta ideal for soaking up plenty of sauces. This pasta is made with 100% Italian durum wheat, bronze drawn and slow dried at low temperatures. 13% protein content, suitable for vegetarians and vegans.",food-cupboard/brands-we-love/just-gourmet-foods/food-cupboard | food-cupboard/brands-we-love/just-gourmet-foods/pasta-rice/pasta | food-cupboard/rice-pasta-pulses/pasta/macaroni-tubes/tubes
